Character1,Character2,Character3,Character4,Score
Jade,Herta,Asta,Lynx,0.8
Jade,Argenti,Robin,Huohuo,0.9
Jade,Blade,Bronya,Lynx,1.0
Xueyi,Asta,Trailblazer(Imaginary),Lynx,0.8
Xueyi,Sparkle,Silver Wolf,Fu Xuan,0.9
Xueyi,Trailblazer(Imaginary),Ruan Mei,Gallagher,1.0
Silver Wolf,Qingque,Xueyi,Lynx,0.8
Silver Wolf,Qingque,Sparkle,Fu Xuan,1.0
Seele,Asta,Trailblazer(Fire),Lynx,0.8
Seele,Sparkle,Silver Wolf,Fu Xuan,0.9
Seele,Sparkle,Tingyun,Fu Xuan,1.0
Qingque,Dan Heng,March 7th,Lynx,0.8
Qingque,Sparkle,Silver Wolf,Fu Xuan,0.9
Qingque,Sparkle,Tingyun,Fu Xuan,1.0
Acheron,Asta,Trailblazer(Fire),Natasha,0.8
Acheron,Pela,Silver Wolf,Aventurine,0.9
Acheron,Pela,Sparkle,Aventurine,1.0
Kafka,Dan Heng,Asta,Natasha,0.8
Kafka,Black Swan,Ruan Mei,Huohuo,1.0
Jing Yuan,Asta,Trailblazer(Fire),Natasha,0.8
Jing Yuan,Sparkle,Tingyun,Huohuo,1.0
Serval,Dan Heng,March 7th,Natasha,0.8
Serval,Kafka,Ruan Mei,Huohuo,1.0
Arlan,Dan Heng,March 7th,Lynx,0.8
Arlan,Tingyun,Bronya,Aventurine,1.0
Firefly,Trailblazer(Imaginary),Asta,Natasha,0.8
Firefly,Trailblazer(Imaginary),Ruan Mei,Gallagher,1.0
Topaz,Asta,March 7th,Natasha,0.8
Topaz,Dr. Ratio,Robin,Aventurine,0.9
Topaz,Himeko,Silver Wolf,Fu Xuan,1.0
Himeko,Asta,Trailblazer(Fire),Natasha,0.8
Himeko,Topaz,Ruan Mei,Aventurine,1.0
Hook,Asta,Trailblazer(Fire),Natasha,0.8
Hook,Tingyun,Sparkle,Aventurine,1.0
Misha,Asta,Yukong,Lynx,0.8
Misha,Sparkle,Tingyun,Huohuo,0.9
Misha,March 7th,Gepard,Luocha,1.0
Jingliu,Asta,Trailblazer(Fire),Natasha,0.8
Jingliu,Bronya,Ruan Mei,Luocha,0.9
Jingliu,Blade,Ruan Mei,Luocha,1.0
Yanqing,Yukong,Trailblazer(Fire),Lynx,0.8
Yanqing,Sparkle,Tingyun,Aventurine,0.9
Yanqing,Sparkle,Silver Wolf,Gepard,1.0
Herta,Serval,March 7th,Natasha,0.8
Herta,Himeko,Robin,Aventurine,1.0
Blade,Dan Heng,Asta,Lynx,0.8
Blade,Bronya,Ruan Mei,Luocha,0.9
Blade,Jingliu,Ruan Mei,Luocha,1.0
Dan Heng,Serval,Trailblazer(Fire),Natasha,0.8
Dan Heng,Welt,Tingyun,Huohuo,1.0
Sampo,Serval,Asta,Natasha,0.8
Sampo,Kafka,Ruan Mei,Huohuo,1.0